District Name,District ID,School ID,School Name,Claim Date,School ID-1,School Name-1,Claim Date-1,Operating Days-Lunch Only,Enrollment-Total,Enrollment-Free,Enrollment-Reduced,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,State-Reporting,Operating Days-Breakfast Only,Enrollment-Total-1,Enrollment-Free-1,Enrollment-Reduced-1,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,County,School Type-Original
Abbeville 60,0160,001,Abbeville High,8/1/2016,001,Abbeville High,8/1/2016,12,489,308,45,1254,2836,374,SC,12,489,308,45,228,875,40,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,9/1/2016,001,Abbeville High,9/1/2016,21,490,295,50,2242,4682,608,SC,21,490,295,50,430,1638,138,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,10/1/2016,001,Abbeville High,10/1/2016,20,489,259,43,2440,4033,578,SC,20,489,259,43,566,1551,161,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,11/1/2016,001,Abbeville High,11/1/2016,18,489,263,44,2053,3434,503,SC,18,489,263,44,467,1375,126,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,12/1/2016,001,Abbeville High,12/1/2016,12,5872,3095,538,1249,2131,321,SC,12,5872,3095,538,271,814,80,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,1/1/2017,001,Abbeville High,1/1/2017,17,8798,260,46,1810,3256,456,SC,17,8798,260,46,351,1025,102,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,2/1/2017,001,Abbeville High,2/1/2017,19,9246,257,47,1932,3522,529,SC,19,9246,257,47,427,1234,130,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,3/1/2017,001,Abbeville High,3/1/2017,22,10653,261,47,2030,3857,534,SC,22,10653,261,47,434,1384,137,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,4/1/2017,001,Abbeville High,4/1/2017,14,6731,3654,614,1316,2459,332,SC,14,6731,3654,614,258,823,73,Abbeville County,Public
Abbeville 60,0160,001,Abbeville High,5/1/2017,001,Abbeville High,5/1/2017,24,11428,5667,944,1940,3830,442,SC,24,11428,5667,944,372,1333,83,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,8/1/2016,018,Cherokee Trail Elementary,8/1/2016,12,437,215,35,816,1790,216,SC,12,437,215,35,465,1025,118,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,9/1/2016,018,Cherokee Trail Elementary,9/1/2016,21,441,213,34,1703,3407,373,SC,21,441,213,34,1074,2269,245,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,10/1/2016,018,Cherokee Trail Elementary,10/1/2016,20,439,216,35,1599,3279,371,SC,20,439,216,35,864,2156,278,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,11/1/2016,018,Cherokee Trail Elementary,11/1/2016,18,442,218,34,1265,3080,340,SC,18,442,218,34,621,2017,229,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,12/1/2016,018,Cherokee Trail Elementary,12/1/2016,12,5377,2613,396,809,1882,201,SC,12,5377,2613,396,339,1224,130,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,1/1/2017,018,Cherokee Trail Elementary,1/1/2017,17,8133,224,33,1230,3068,304,SC,17,8133,224,33,512,1861,189,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,2/1/2017,018,Cherokee Trail Elementary,2/1/2017,19,8628,4349,598,1419,3480,289,SC,19,8628,4349,598,569,2063,188,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,3/1/2017,018,Cherokee Trail Elementary,3/1/2017,22,9918,227,33,1676,3965,377,SC,22,9918,227,33,673,2555,269,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,4/1/2017,018,Cherokee Trail Elementary,4/1/2017,14,6291,3110,462,1020,2479,225,SC,14,6291,3110,462,407,1556,161,Abbeville County,Public
Abbeville 60,0160,018,Cherokee Trail Elementary,5/1/2017,018,Cherokee Trail Elementary,5/1/2017,24,10800,4926,726,1442,3710,320,SC,24,10800,4926,726,782,2560,249,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,8/1/2016,019,Diamond Hill Elementary,8/1/2016,12,306,172,37,836,1600,218,SC,12,306,172,37,446,1048,136,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,9/1/2016,019,Diamond Hill Elementary,9/1/2016,21,315,178,33,1380,3078,393,SC,21,315,178,33,876,2202,262,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,10/1/2016,019,Diamond Hill Elementary,10/1/2016,20,316,183,28,1372,3025,330,SC,20,316,183,28,846,2005,164,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,11/1/2016,019,Diamond Hill Elementary,11/1/2016,18,317,183,28,1198,2823,323,SC,18,317,183,28,721,1904,171,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,12/1/2016,019,Diamond Hill Elementary,12/1/2016,12,3795,2175,334,705,1718,190,SC,12,3795,2175,334,385,1118,90,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,1/1/2017,019,Diamond Hill Elementary,1/1/2017,17,5723,186,28,1069,2650,273,SC,17,5723,186,28,585,1712,154,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,2/1/2017,019,Diamond Hill Elementary,2/1/2017,19,6071,3571,532,1215,2978,303,SC,19,6071,3571,532,717,1969,174,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,3/1/2017,019,Diamond Hill Elementary,3/1/2017,22,6815,182,29,1400,3219,331,SC,22,6815,182,29,789,2074,188,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,4/1/2017,019,Diamond Hill Elementary,4/1/2017,14,4302,2520,406,895,2034,228,SC,14,4302,2520,406,511,1280,114,Abbeville County,Public
Abbeville 60,0160,019,Diamond Hill Elementary,5/1/2017,019,Diamond Hill Elementary,5/1/2017,24,7403,3935,655,1330,3140,331,SC,24,7403,3935,655,832,2154,205,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,8/1/2016,003,Dixie High,8/1/2016,12,430,247,34,1025,2092,243,SC,12,430,247,34,219,710,69,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,9/1/2016,003,Dixie High,9/1/2016,21,428,238,32,1989,3585,426,SC,21,428,238,32,596,1697,188,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,10/1/2016,003,Dixie High,10/1/2016,20,423,220,29,2071,3360,416,SC,20,423,220,29,546,1530,159,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,11/1/2016,003,Dixie High,11/1/2016,18,426,224,29,1784,3036,355,SC,18,426,224,29,366,1283,108,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,12/1/2016,003,Dixie High,12/1/2016,12,5094,2665,336,1026,1849,189,SC,12,5094,2665,336,211,794,77,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,1/1/2017,003,Dixie High,1/1/2017,17,7692,227,28,1699,2820,322,SC,17,7692,227,28,261,970,81,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,2/1/2017,003,Dixie High,2/1/2017,19,8105,223,28,1875,2932,326,SC,19,8105,223,28,348,1168,126,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,3/1/2017,003,Dixie High,3/1/2017,22,9314,222,27,2121,3361,346,SC,22,9314,222,27,394,1377,122,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,4/1/2017,003,Dixie High,4/1/2017,14,5906,3115,365,1301,2107,219,SC,14,5906,3115,365,239,928,85,Abbeville County,Public
Abbeville 60,0160,003,Dixie High,5/1/2017,003,Dixie High,5/1/2017,24,10142,4878,572,1945,3307,348,SC,24,10142,4878,572,439,1440,141,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,8/1/2016,007,John C Calhoun Elementary,8/1/2016,12,211,175,7,201,1811,29,SC,12,211,175,7,143,1392,39,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,9/1/2016,007,John C Calhoun Elementary,9/1/2016,21,198,175,7,245,3234,93,SC,21,198,175,7,194,2585,95,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,10/1/2016,007,John C Calhoun Elementary,10/1/2016,20,198,175,7,214,3083,113,SC,20,198,175,7,153,2396,90,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,11/1/2016,007,John C Calhoun Elementary,11/1/2016,18,202,177,8,207,2793,124,SC,18,202,177,8,155,2178,102,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,12/1/2016,007,John C Calhoun Elementary,12/1/2016,12,2446,2113,96,140,1745,80,SC,12,2446,2113,96,93,1359,60,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,1/1/2017,007,John C Calhoun Elementary,1/1/2017,17,3769,182,7,244,2775,101,SC,17,3769,182,7,182,2139,86,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,2/1/2017,007,John C Calhoun Elementary,2/1/2017,19,3968,182,7,256,3083,112,SC,19,3968,182,7,190,2437,88,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,3/1/2017,007,John C Calhoun Elementary,3/1/2017,22,4560,181,7,293,3359,127,SC,22,4560,181,7,224,2667,105,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,4/1/2017,007,John C Calhoun Elementary,4/1/2017,14,2871,2506,98,164,2145,81,SC,14,2871,2506,98,117,1680,73,Abbeville County,Public
Abbeville 60,0160,007,John C Calhoun Elementary,5/1/2017,007,John C Calhoun Elementary,5/1/2017,24,4868,3944,154,220,3231,107,SC,24,4868,3944,154,171,2490,82,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,8/1/2016,020,Long Cane Primary,8/1/2016,12,412,314,26,531,2874,202,SC,12,412,314,26,437,1575,111,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,9/1/2016,020,Long Cane Primary,9/1/2016,21,412,321,34,813,5371,446,SC,21,412,321,34,925,3549,303,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,10/1/2016,020,Long Cane Primary,10/1/2016,20,409,310,29,617,5292,475,SC,20,409,310,29,1064,4173,396,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,11/1/2016,020,Long Cane Primary,11/1/2016,18,489,309,30,589,4846,472,SC,18,489,309,30,500,3602,304,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,12/1/2016,020,Long Cane Primary,12/1/2016,12,4874,3654,354,368,2971,278,SC,12,4874,3654,354,194,2040,141,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,1/1/2017,020,Long Cane Primary,1/1/2017,17,7436,313,30,543,4503,433,SC,17,7436,313,30,290,3180,249,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,2/1/2017,020,Long Cane Primary,2/1/2017,19,7839,5904,551,652,5007,471,SC,19,7839,5904,551,217,3356,244,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,3/1/2017,020,Long Cane Primary,3/1/2017,22,9035,311,29,752,5665,533,SC,22,9035,311,29,259,3811,274,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,4/1/2017,020,Long Cane Primary,4/1/2017,14,5768,4360,392,466,3572,331,SC,14,5768,4360,392,195,2391,177,Abbeville County,Public
Abbeville 60,0160,020,Long Cane Primary,5/1/2017,020,Long Cane Primary,5/1/2017,24,9912,6858,616,663,5317,501,SC,24,9912,6858,616,247,3593,243,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,8/1/2016,017,Westwood Elementary,8/1/2016,12,372,280,25,595,2820,186,SC,12,372,280,25,242,1871,105,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,9/1/2016,017,Westwood Elementary,9/1/2016,21,372,273,32,1072,4871,412,SC,21,372,273,32,477,3383,284,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,10/1/2016,017,Westwood Elementary,10/1/2016,20,370,258,28,1052,4551,426,SC,20,370,258,28,462,3117,296,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,11/1/2016,017,Westwood Elementary,11/1/2016,18,369,261,29,995,4099,394,SC,18,369,261,29,417,2830,257,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,12/1/2016,017,Westwood Elementary,12/1/2016,12,4378,3049,342,606,2521,254,SC,12,4378,3049,342,268,1736,169,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,1/1/2017,017,Westwood Elementary,1/1/2017,17,6528,254,28,933,3733,352,SC,17,6528,254,28,384,2507,233,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,2/1/2017,017,Westwood Elementary,2/1/2017,19,6931,4803,494,1037,4162,381,SC,19,6931,4803,494,432,2819,255,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,3/1/2017,017,Westwood Elementary,3/1/2017,22,7962,252,26,1167,4816,461,SC,22,7962,252,26,690,3342,330,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,4/1/2017,017,Westwood Elementary,4/1/2017,14,5059,3513,336,746,2959,288,SC,14,5059,3513,336,332,1982,189,Abbeville County,Public
Abbeville 60,0160,017,Westwood Elementary,5/1/2017,017,Westwood Elementary,5/1/2017,24,8692,5531,528,1051,4670,410,SC,24,8692,5531,528,545,3260,274,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,8/1/2016,016,Wright Middle,8/1/2016,12,419,277,32,958,2749,235,SC,12,419,277,32,434,1531,140,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,9/1/2016,016,Wright Middle,9/1/2016,21,374,245,27,1810,4575,461,SC,21,374,245,27,854,2634,328,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,10/1/2016,016,Wright Middle,10/1/2016,20,372,238,21,1878,4282,375,SC,20,372,238,21,960,2499,259,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,11/1/2016,016,Wright Middle,11/1/2016,18,6726,238,20,1619,3797,322,SC,18,6726,238,20,776,2256,232,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,12/1/2016,016,Wright Middle,12/1/2016,12,4475,2611,225,914,2331,200,SC,12,4475,2611,225,472,1448,142,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,1/1/2017,016,Wright Middle,1/1/2017,17,6704,241,22,1393,3547,308,SC,17,6704,241,22,717,2161,221,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,2/1/2017,016,Wright Middle,2/1/2017,19,7097,236,22,1544,3924,359,SC,19,7097,236,22,768,2389,242,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,3/1/2017,016,Wright Middle,3/1/2017,22,8216,243,22,1751,4611,396,SC,22,8216,243,22,892,2863,249,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,4/1/2017,016,Wright Middle,4/1/2017,14,5230,3414,294,1077,2866,230,SC,14,5230,3414,294,505,1781,136,Abbeville County,Public
Abbeville 60,0160,016,Wright Middle,5/1/2017,016,Wright Middle,5/1/2017,24,8952,5306,462,1541,4446,351,SC,24,8952,5306,462,729,2870,211,Abbeville County,Public
"Academy of Hope, Inc.",6292,001,Academy of Hope,7/1/2016,001,Academy of Hope,7/1/2016,4,138,132,2,16,317,8,SC,4,138,132,2,8,264,8,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,8/1/2016,001,Academy of Hope,8/1/2016,23,152,138,9,79,2000,119,SC,23,152,138,9,29,1990,88,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,9/1/2016,001,Academy of Hope,9/1/2016,17,152,136,9,94,1826,109,SC,17,152,136,9,0,1499,90,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,10/1/2016,001,Academy of Hope,10/1/2016,11,155,139,10,43,1288,75,SC,11,155,139,10,8,1011,53,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,11/1/2016,001,Academy of Hope,11/1/2016,18,160,143,11,48,2063,149,SC,18,160,143,11,31,1730,119,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,12/1/2016,001,Academy of Hope,12/1/2016,12,162,145,11,38,1410,96,SC,12,162,145,11,17,1045,88,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,1/1/2017,001,Academy of Hope,1/1/2017,20,150,133,11,62,2373,162,SC,20,150,133,11,20,1769,155,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,2/1/2017,001,Academy of Hope,2/1/2017,19,150,133,11,66,2173,124,SC,19,150,133,11,34,1676,142,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,3/1/2017,001,Academy of Hope,3/1/2017,23,149,131,11,76,2599,174,SC,23,149,131,11,30,1836,167,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,4/1/2017,001,Academy of Hope,4/1/2017,10,148,130,11,10,1082,75,SC,10,148,130,11,10,791,77,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,5/1/2017,001,Academy of Hope,5/1/2017,22,143,125,11,74,2447,148,SC,22,143,125,11,26,1696,131,Horry County,Charter
"Academy of Hope, Inc.",6292,001,Academy of Hope,6/1/2017,001,Academy of Hope,6/1/2017,1,144,126,11,4,102,8,SC,1,144,126,11,0,76,9,Horry County,Charter
Aiken 01,0201,016,Aiken Elementary,8/1/2016,016,Aiken Elementary,8/1/2016,13,884,473,43,857,3972,276,SC,13,884,473,43,298,2342,61,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,9/1/2016,016,Aiken Elementary,9/1/2016,20,862,483,50,1138,6840,542,SC,20,862,483,50,208,4255,112,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,10/1/2016,016,Aiken Elementary,10/1/2016,17,865,484,45,1016,5954,454,SC,17,865,484,45,193,3435,59,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,11/1/2016,016,Aiken Elementary,11/1/2016,18,854,487,46,945,6487,498,SC,18,854,487,46,170,3840,82,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,12/1/2016,016,Aiken Elementary,12/1/2016,12,851,487,45,653,4300,331,SC,12,851,487,45,129,2500,87,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,1/1/2017,016,Aiken Elementary,1/1/2017,19,879,492,47,1016,6706,559,SC,19,879,492,47,211,3707,149,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,2/1/2017,016,Aiken Elementary,2/1/2017,20,850,493,49,985,6816,605,SC,20,850,493,49,154,4036,128,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,3/1/2017,016,Aiken Elementary,3/1/2017,23,838,487,46,1092,7823,653,SC,23,838,487,46,191,4457,162,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,4/1/2017,016,Aiken Elementary,4/1/2017,14,843,491,44,697,4945,395,SC,14,843,491,44,108,2666,88,Aiken County,Public
Aiken 01,0201,016,Aiken Elementary,5/1/2017,016,Aiken Elementary,5/1/2017,20,841,489,44,1080,7056,578,SC,20,841,489,44,157,4281,127,Aiken County,Public
Aiken 01,0201,002,Aiken High,8/1/2016,002,Aiken High,8/1/2016,13,1493,788,70,507,3910,151,SC,13,1493,788,70,45,758,15,Aiken County,Public
Aiken 01,0201,002,Aiken High,9/1/2016,002,Aiken High,9/1/2016,20,1475,799,71,713,6574,265,SC,20,1475,799,71,50,1365,27,Aiken County,Public
Aiken 01,0201,002,Aiken High,10/1/2016,002,Aiken High,10/1/2016,17,1476,736,57,765,5296,207,SC,17,1476,736,57,73,1169,14,Aiken County,Public
Aiken 01,0201,002,Aiken High,11/1/2016,002,Aiken High,11/1/2016,18,1464,747,58,761,5812,168,SC,18,1464,747,58,76,1399,12,Aiken County,Public
Aiken 01,0201,002,Aiken High,12/1/2016,002,Aiken High,12/1/2016,12,1459,755,57,521,4044,112,SC,12,1459,755,57,50,1005,9,Aiken County,Public
Aiken 01,0201,002,Aiken High,1/1/2017,002,Aiken High,1/1/2017,19,1456,751,58,736,6042,181,SC,19,1456,751,58,65,1588,9,Aiken County,Public
Aiken 01,0201,002,Aiken High,2/1/2017,002,Aiken High,2/1/2017,20,1435,752,62,707,6359,224,SC,20,1435,752,62,68,1986,16,Aiken County,Public
Aiken 01,0201,002,Aiken High,3/1/2017,002,Aiken High,3/1/2017,23,1422,746,62,872,7313,274,SC,23,1422,746,62,53,2188,29,Aiken County,Public
Aiken 01,0201,002,Aiken High,4/1/2017,002,Aiken High,4/1/2017,14,1418,747,62,475,4252,139,SC,14,1418,747,62,43,1330,28,Aiken County,Public
Aiken 01,0201,002,Aiken High,5/1/2017,002,Aiken High,5/1/2017,20,1416,749,61,651,5655,202,SC,20,1416,749,61,67,2160,32,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,8/1/2016,057,Aiken Middle,8/1/2016,13,522,405,30,333,3481,146,SC,13,522,405,30,47,1045,27,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,9/1/2016,057,Aiken Middle,9/1/2016,20,496,383,35,485,5338,327,SC,20,496,383,35,85,2029,88,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,10/1/2016,057,Aiken Middle,10/1/2016,17,497,378,29,459,4293,254,SC,17,497,378,29,83,1703,79,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,11/1/2016,057,Aiken Middle,11/1/2016,18,502,387,31,421,4739,303,SC,18,502,387,31,50,2018,115,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,12/1/2016,057,Aiken Middle,12/1/2016,12,501,385,30,279,3045,203,SC,12,501,385,30,26,1440,80,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,1/1/2017,057,Aiken Middle,1/1/2017,19,509,393,31,391,4892,326,SC,19,509,393,31,50,2106,105,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,2/1/2017,057,Aiken Middle,2/1/2017,20,505,392,32,391,4977,330,SC,20,505,392,32,38,2256,83,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,3/1/2017,057,Aiken Middle,3/1/2017,23,502,399,32,487,5852,386,SC,23,502,399,32,66,2566,94,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,4/1/2017,057,Aiken Middle,4/1/2017,14,504,399,32,311,3507,255,SC,14,504,399,32,57,1543,79,Aiken County,Public
Aiken 01,0201,057,Aiken Middle,5/1/2017,057,Aiken Middle,5/1/2017,20,504,401,32,414,5021,363,SC,20,504,401,32,95,2586,130,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,8/1/2016,019,Belvedere Elementary,8/1/2016,13,636,307,20,613,2256,39,SC,13,636,307,20,267,1090,27,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,9/1/2016,019,Belvedere Elementary,9/1/2016,20,625,301,33,958,3827,205,SC,20,625,301,33,279,2179,125,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,10/1/2016,019,Belvedere Elementary,10/1/2016,17,623,304,30,911,3458,240,SC,17,623,304,30,233,1896,129,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,11/1/2016,019,Belvedere Elementary,11/1/2016,18,627,306,31,882,3749,256,SC,18,627,306,31,220,2242,128,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,12/1/2016,019,Belvedere Elementary,12/1/2016,12,629,311,31,702,2638,199,SC,12,629,311,31,151,1491,97,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,1/1/2017,019,Belvedere Elementary,1/1/2017,19,632,315,31,855,4081,273,SC,19,632,315,31,203,2331,119,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,2/1/2017,019,Belvedere Elementary,2/1/2017,20,633,316,31,951,4290,306,SC,20,633,316,31,184,2522,127,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,3/1/2017,019,Belvedere Elementary,3/1/2017,23,634,317,30,1228,4964,341,SC,23,634,317,30,207,2814,89,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,4/1/2017,019,Belvedere Elementary,4/1/2017,14,632,318,31,755,3110,210,SC,14,632,318,31,120,1698,49,Aiken County,Public
Aiken 01,0201,019,Belvedere Elementary,5/1/2017,019,Belvedere Elementary,5/1/2017,20,634,318,31,1092,4462,275,SC,20,634,318,31,217,2747,80,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,8/1/2016,025,Busbee-Corbett Elem/Mdl,8/1/2016,13,711,468,41,942,4245,193,SC,13,711,468,41,899,2261,182,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,9/1/2016,025,Busbee-Corbett Elem/Mdl,9/1/2016,20,711,500,40,1278,7189,355,SC,20,711,500,40,1271,4497,367,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,10/1/2016,025,Busbee-Corbett Elem/Mdl,10/1/2016,17,712,499,33,1277,6157,312,SC,17,712,499,33,1048,3929,298,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,11/1/2016,025,Busbee-Corbett Elem/Mdl,11/1/2016,18,716,505,37,947,6929,377,SC,18,716,505,37,958,4585,381,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,12/1/2016,025,Busbee-Corbett Elem/Mdl,12/1/2016,12,714,503,37,530,4705,302,SC,12,714,503,37,563,3035,293,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,1/1/2017,025,Busbee-Corbett Elem/Mdl,1/1/2017,19,715,512,37,691,7259,425,SC,19,715,512,37,821,4696,428,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,2/1/2017,025,Busbee-Corbett Elem/Mdl,2/1/2017,20,709,510,37,746,7497,449,SC,20,709,510,37,856,5064,450,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,3/1/2017,025,Busbee-Corbett Elem/Mdl,3/1/2017,23,718,521,35,882,8752,414,SC,23,718,521,35,966,5937,481,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,4/1/2017,025,Busbee-Corbett Elem/Mdl,4/1/2017,14,712,521,34,525,5345,270,SC,14,712,521,34,542,3533,302,Aiken County,Public
Aiken 01,0201,025,Busbee-Corbett Elem/Mdl,5/1/2017,025,Busbee-Corbett Elem/Mdl,5/1/2017,20,708,516,34,687,7469,355,SC,20,708,516,34,926,5819,478,Aiken County,Public
Aiken 01,0201,021,Byrd Elementary,8/1/2016,021,Byrd Elementary,8/1/2016,13,846,455,57,1068,3839,291,SC,13,846,455,57,385,1809,97,Aiken County,Public
Aiken 01,0201,021,Byrd Elementary,9/1/2016,021,Byrd Elementary,9/1/2016,20,838,464,70,1576,6644,679,SC,20,838,464,70,475,3297,308,Aiken County,Public
Aiken 01,0201,021,Byrd Elementary,10/1/2016,021,Byrd Elementary,10/1/2016,17,845,468,62,1548,6102,650,SC,17,845,468,62,453,2667,313,Aiken County,Public
Aiken 01,0201,021,Byrd Elementary,11/1/2016,021,Byrd Elementary,11/1/2016,18,851,476,61,1436,6518,704,SC,18,851,476,61,446,3092,313,Aiken County,Public
Aiken 01,0201,021,Byrd Elementary,12/1/2016,021,Byrd Elementary,12/1/2016,12,848,475,61,1072,4338,505,SC,12,848,475,61,292,1905,186,Aiken County,Public
Aiken 01,0201,021,Byrd Elementary,1/1/2017,021,Byrd Elementary,1/1/2017,19,847,476,62,1605,6920,816,SC,19,847,476,62,383,3117,261,Aiken County,Public
Aiken 01,0201,021,Byrd Elementary,2/1/2017,021,Byrd Elementary,2/1/2017,20,844,476,60,1731,7203,813,SC,20,844,476,60,404,3304,279,Aiken County,Public
